Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan sanctioned
F,20.0,3533.98,Low,Working,Sales staff,Semi-Urban,246597.03749999998,912.88,3.0,654.94,0,Active,Urban,1,369850.44375,177270.41499999998,True
M,39.0,2261.56,Low,Commercial associate,Accountants,Semi-Urban,20805.99,96.37,3.0,800.3,0,Active,Rural,1,34642.97,15604.49,True
M,21.0,2977.71,Low,State servant,Core staff,Semi-Urban,138351.85,722.39,2.0,755.77,0,Unpossessed,Urban,1,166833.81,110681.48,True
F,35.0,5351.7775,Low,Commercial associate,Managers,Urban,115158.99,664.16,2.0,808.97,0,Active,Urban,1,208979.04,80611.29,True
M,49.0,3151.78,Low,Commercial associate,Managers,Urban,139867.9,823.57,2.0,806.25,0,Inactive,Semi-Urban,1,221496.93,104900.92,True
F,61.0,3123.28,High,Pensioner,Retired,Semi-Urban,103092.57,532.48,1.0,842.36,0,Active,Urban,0,127148.83,82474.06,True
M,27.0,0.0,Low,Working,Laborers,Semi-Urban,59520.27,475.93,1.0,696.57,0,Active,Urban,1,111170.13,41664.19,True
F,50.0,1857.76,Low,Working,Accountants,Semi-Urban,23027.43,258.87,4.0,759.22,0,Unpossessed,Urban,1,30248.58,18421.94,True
F,65.0,1758.56,High,Pensioner,Retired,Rural,21957.87,111.86,1.0,811.81,0,Unpossessed,Urban,0,27437.87,17566.3,True
F,34.0,1451.44,Low,Working,Laborers,Semi-Urban,34417.62,405.1,1.0,653.66,0,Unpossessed,Semi-Urban,1,51274.37,22371.45,True
M,54.0,5351.7775,Low,Working,Laborers,Semi-Urban,126478.62,578.59,2.0,849.14,0,Inactive,Rural,1,146610.48,101182.9,True
F,18.0,0.0,Low,Working,High skill tech staff,Rural,60282.8,324.45,3.0,697.85,0,Unpossessed,Rural,1,111372.26,39183.82,True
F,46.0,1631.14,Low,Working,Core staff,Semi-Urban,61192.98,479.83,0.0,828.53,1,Inactive,Semi-Urban,1,111518.48,45894.74,True
F,30.0,1060.65,Low,Working,High skill tech staff,Rural,143573.38,628.05,4.0,807.91,0,Unpossessed,Semi-Urban,1,262318.72,100501.37,True
M,63.0,1698.66,High,Pensioner,Retired,Rural,45358.14,179.32,2.0,789.5,0,Unpossessed,Semi-Urban,0,77968.19,34018.6,True
M,20.0,2389.03,Low,Working,Laborers,Semi-Urban,124679.35,559.08,2.0,673.58,0,Active,Semi-Urban,1,194369.24,87275.54,True
F,32.0,1341.23,Low,Working,Not available,Semi-Urban,49993.65,240.09,2.0,791.91,1,Inactive,Rural,1,55038.65,37495.24,True
F,39.0,1673.6,Low,Working,Sales staff,Semi-Urban,62727.69,318.21,0.0,715.48,0,Active,Urban,1,87149.99,40773.0,True
M,61.0,1881.59,High,Pensioner,Retired,Semi-Urban,72536.46,331.69,3.0,756.56,0,Active,Urban,1,133778.61,54402.34,True
F,48.0,3511.09,Low,Commercial associate,Managers,Rural,30769.7,210.84,1.0,891.75,1,Inactive,Rural,1,57126.33,24615.76,True
M,39.0,3114.48,Low,Working,Accountants,Urban,180417.49,738.29,2.0,838.0,0,Active,Rural,1,246676.79,144333.99,True
M,18.0,3031.17,Low,Commercial associate,Sales staff,Semi-Urban,47513.92,253.32,1.0,855.16,0,Unpossessed,Urban,1,53257.46,40386.83,True
F,32.0,1020.49,Low,Working,Not available,Semi-Urban,14900.41,147.18,2.0,745.35,0,Active,Urban,1,19328.85,10430.29,True
F,60.0,1990.03,Low,Working,Private service staff,Semi-Urban,43977.51,204.53,0.0,774.9,1,Active,Rural,1,65592.9,35182.01,True
F,55.0,2806.56,Low,Commercial associate,Managers,Semi-Urban,41719.49,399.24,3.0,858.6,0,Inactive,Semi-Urban,1,59971.72,31289.62,True
M,43.0,0.0,Low,Working,Not available,Semi-Urban,98479.19,513.7,2.0,736.51,1,Active,Rural,1,159663.17,68935.43,True
M,18.0,699.02,Low,Working,Not available,Semi-Urban,36318.43,400.41,2.0,653.38,1,Unpossessed,Semi-Urban,1,56079.12,25422.9,True
F,33.0,2140.46,Low,State servant,Core staff,Rural,37142.93,323.03,4.0,728.05,0,Unpossessed,Rural,1,48161.76,26000.05,True
F,43.0,0.0,Low,Working,Laborers,Semi-Urban,41310.43,215.8,0.0,740.04,0,Active,Urban,1,71720.44,28917.3,True
M,34.0,0.0,Low,Commercial associate,Core staff,Rural,210468.41,817.7,3.0,740.04,0,Unpossessed,Rural,1,292074.57,168374.73,True
M,18.0,2389.85,Low,Working,High skill tech staff,Semi-Urban,61018.57,334.91,3.0,696.32,0,Unpossessed,Rural,1,67145.9,42713.0,True
M,54.0,0.0,Low,State servant,Not available,Rural,117639.01,402.67,2.0,671.72,0,Active,Semi-Urban,1,187280.01,82347.31,True
F,38.0,5351.7775,Low,Working,High skill tech staff,Urban,105290.85,541.37,1.0,877.16,0,Active,Semi-Urban,1,130450.03,84232.68,True
F,60.0,3479.57,Low,Working,Security staff,Semi-Urban,112620.73,745.92,2.0,673.75,1,Active,Urban,1,141042.63,73203.47,True
M,56.0,3731.1,Low,Commercial associate,High skill tech staff,Semi-Urban,246597.03749999998,934.54,2.0,740.04,0,Unpossessed,Semi-Urban,1,369850.44375,177270.41499999998,True
M,54.0,2535.24,Low,Working,Sales staff,Semi-Urban,82667.51,430.75,3.0,700.6,0,Unpossessed,Rural,1,102467.87,57867.26,True
M,47.0,0.0,Low,Commercial associate,High skill tech staff,Rural,40832.2,201.54,1.0,740.04,0,Inactive,Urban,1,55761.77,30624.15,True
F,28.0,4996.45,Low,Commercial associate,Managers,Semi-Urban,80344.64,441.01,4.0,763.05,1,Active,Rural,1,103129.6,60258.48,True
M,18.0,2822.2,Low,State servant,Medicine staff,Rural,114977.94,343.45,2.0,824.17,0,Unpossessed,Urban,1,139429.4,91982.35,True
F,40.0,816.81,Low,Working,Cooking staff,Semi-Urban,35757.29,344.83,2.0,777.72,0,Inactive,Semi-Urban,1,45706.08,28605.83,True
F,23.0,3491.25,Low,Commercial associate,Managers,Semi-Urban,68534.83,662.12,0.0,749.22,1,Unpossessed,Semi-Urban,1,120803.62,44547.64,True
F,26.0,1615.79,Low,State servant,Cooking staff,Semi-Urban,73549.82,314.56,1.0,687.4,1,Active,Rural,1,124123.11,51484.87,True
M,40.0,0.0,Low,Working,Sales staff,Urban,97729.24,378.86,3.0,775.55,0,Active,Semi-Urban,1,143433.77,73296.93,True
F,31.0,2791.59,Low,Working,Laborers,Semi-Urban,78374.78,862.66,3.0,777.18,0,Inactive,Urban,1,127879.52,54862.35,True
M,65.0,1946.85,High,Pensioner,Retired,Semi-Urban,238732.53,669.51,2.0,704.78,0,Active,Rural,1,283786.56,167112.77,True
M,34.0,1417.63,Low,Commercial associate,Not available,Semi-Urban,120650.47,310.45,2.0,745.76,1,Active,Urban,1,147962.99,84455.33,True
M,26.0,1570.98,Low,Working,Medicine staff,Semi-Urban,14852.27,150.31,1.0,736.75,1,Active,Semi-Urban,1,22825.86,10396.59,True
M,18.0,1280.91,Low,Working,High skill tech staff,Rural,152032.63,441.42,3.0,729.97,0,Unpossessed,Semi-Urban,1,228069.26,98821.21,True
M,64.0,1222.23,High,Pensioner,Retired,Semi-Urban,35174.72,344.22,2.0,856.23,0,Inactive,Rural,1,56299.75,28139.78,True
M,22.0,0.0,Low,Commercial associate,Not available,Semi-Urban,75055.25,520.73,0.0,682.15,1,Unpossessed,Rural,1,99053.99,48785.91,True
M,28.0,1457.71,Low,Commercial associate,Core staff,Semi-Urban,87344.33,472.18,2.0,774.57,0,Inactive,Rural,1,96781.81,61141.03,True
F,29.0,1709.35,Low,Working,Sales staff,Semi-Urban,67565.98,655.85,2.0,684.11,1,Unpossessed,Rural,1,101972.93,47296.19,True
F,18.0,2295.8,Low,Working,Drivers,Semi-Urban,35194.76,331.99,1.0,656.61,0,Inactive,Semi-Urban,1,41384.05,24636.33,True
M,58.0,4536.66,Low,Working,Not available,Semi-Urban,189891.41,499.82,2.0,721.92,0,Inactive,Rural,1,283921.68,132923.99,True
M,28.0,0.0,Low,Working,Laborers,Semi-Urban,76663.97,374.7,2.0,796.61,1,Inactive,Urban,1,141533.88,61331.18,True
M,27.0,1167.07,Low,Commercial associate,Not available,Semi-Urban,38522.61,175.06,0.0,733.5,0,Active,Rural,1,42754.9,25039.7,True
F,43.0,2702.83,Low,Commercial associate,Low-skill Laborers,Semi-Urban,155101.14,556.31,2.0,746.32,0,Unpossessed,Rural,1,280991.56,108570.8,True
F,63.0,799.95,High,Pensioner,Retired,Rural,23118.63,105.79,2.0,881.96,0,Inactive,Urban,0,32916.83,18494.9,True
F,24.0,993.98,Low,Working,Core staff,Rural,58067.77,271.24,2.0,760.26,0,Inactive,Urban,1,78007.03,43550.83,True
F,58.0,2745.95,Low,Commercial associate,Sales staff,Semi-Urban,91745.44,489.28,2.0,755.55,0,Unpossessed,Rural,1,157043.16,68809.08,True
F,18.0,0.0,Low,State servant,Core staff,Rural,140777.85,451.94,4.0,715.03,0,Active,Rural,1,228978.7,91505.6,True
F,23.0,0.0,Low,Working,Not available,Semi-Urban,30393.63,118.47,0.0,775.18,0,Active,Urban,1,40143.7,21275.54,True
M,42.0,4375.95,Low,Commercial associate,Sales staff,Semi-Urban,98863.36,435.06,1.0,740.04,0,Unpossessed,Semi-Urban,1,117187.35,69204.35,True
M,22.0,0.0,Low,Working,Laborers,Semi-Urban,44311.61,210.79,0.0,708.53,0,Active,Semi-Urban,1,73905.19,31018.13,True
F,37.0,0.0,Low,Working,Core staff,Semi-Urban,32161.86,261.03,0.0,721.31,1,Inactive,Rural,1,49044.14,20905.21,True
M,62.0,0.0,High,Pensioner,Retired,Semi-Urban,182155.11,769.15,2.0,688.37,0,Unpossessed,Urban,0,261900.2,118400.82,True
M,53.0,3574.94,Low,State servant,Managers,Urban,246597.03749999998,675.75,2.0,806.32,0,Inactive,Semi-Urban,1,369850.44375,177270.41499999998,True
M,19.0,1637.37,Low,Working,Core staff,Semi-Urban,146422.79,412.86,2.0,801.38,0,Inactive,Urban,1,245624.43,117138.23,True
M,61.0,3034.51,High,Pensioner,Retired,Semi-Urban,208084.88,544.41,2.0,695.08,1,Unpossessed,Rural,1,239435.26,135255.17,True
F,62.0,2048.14,High,Pensioner,Retired,Semi-Urban,74481.76,294.66,1.0,855.17,0,Active,Semi-Urban,1,113618.26,52137.23,True
M,19.0,2239.55,Low,Working,Cooking staff,Rural,71493.98,336.13,0.0,789.44,0,Unpossessed,Semi-Urban,1,90899.02,57195.18,True
M,63.0,827.81,High,Pensioner,Retired,Semi-Urban,29109.26,115.81,1.0,740.04,1,Inactive,Rural,1,54946.91,21831.94,True
M,18.0,2963.71,Low,Working,Laborers,Semi-Urban,65725.39,305.36,1.0,692.77,0,Active,Semi-Urban,1,95021.68,46007.77,True
F,39.0,1907.05,Low,State servant,Managers,Semi-Urban,38276.42,159.99,2.0,869.45,1,Unpossessed,Semi-Urban,1,57914.08,26793.49,True
F,52.0,0.0,Low,State servant,Managers,Semi-Urban,134730.81,359.67,1.0,814.53,0,Unpossessed,Urban,1,158017.46,101048.11,True
M,50.0,0.0,Low,Working,Core staff,Semi-Urban,103895.75,399.87,2.0,717.71,1,Active,Semi-Urban,1,156627.52,72727.02,True
F,18.0,1556.84,Low,Working,Laborers,Semi-Urban,86486.67,309.3,5.0,697.4,1,Active,Semi-Urban,1,109989.47,60540.67,True
M,60.0,1369.48,High,Pensioner,Retired,Semi-Urban,147968.13,729.85,4.0,740.04,0,Active,Urban,1,191138.93,103577.69,True
M,33.0,2976.95,Low,Working,Not available,Semi-Urban,32067.15,308.54,0.0,804.38,0,Active,Rural,1,52655.09,24050.36,True
M,40.0,0.0,Low,State servant,Managers,Semi-Urban,46818.49,246.51,2.0,690.51,0,Unpossessed,Semi-Urban,1,52709.73,32772.94,True
F,24.0,0.0,Low,Working,Secretaries,Semi-Urban,104845.1,298.09,2.0,818.61,0,Inactive,Rural,1,149790.6,78633.83,True
F,34.0,1569.99,Low,Working,Not available,Semi-Urban,40456.75,201.08,3.0,782.32,0,Unpossessed,Urban,1,57811.45,32365.4,True
M,64.0,1062.33,High,Pensioner,Retired,Rural,44474.43,221.16,3.0,775.87,0,Unpossessed,Semi-Urban,1,50242.32,35579.54,True
F,24.0,4086.38,Low,Working,Not available,Semi-Urban,233749.18,697.37,2.0,711.59,0,Active,Semi-Urban,1,369850.44375,163624.43,True
M,56.0,1753.47,Low,Commercial associate,Sales staff,Semi-Urban,42007.22,208.81,2.0,803.71,0,Unpossessed,Semi-Urban,1,61345.39,33605.78,True
M,18.0,1370.52,Low,Working,Sales staff,Semi-Urban,21577.15,199.53,2.0,845.62,0,Inactive,Semi-Urban,1,31502.84,15104.0,True
F,59.0,2463.91,Low,State servant,Managers,Semi-Urban,117933.88,400.44,2.0,775.48,1,Unpossessed,Urban,1,163758.14,94347.1,True
F,55.0,4691.11,Low,Commercial associate,Managers,Semi-Urban,187576.22,738.08,2.0,848.38,0,Active,Urban,1,226095.71,150060.98,True
F,49.0,2104.28,Low,Commercial associate,Laborers,Urban,38913.35,184.71,0.0,799.21,0,Inactive,Semi-Urban,1,69276.17,29185.01,True
F,45.0,1515.88,Low,Working,Medicine staff,Semi-Urban,20063.28,218.0,4.0,830.93,0,Unpossessed,Urban,1,22464.97,14044.3,True
M,18.0,0.0,Low,Working,Managers,Semi-Urban,37700.48,206.62,2.0,827.16,0,Inactive,Semi-Urban,1,71533.53,28275.36,True
M,26.0,2350.93,Low,Working,Security staff,Semi-Urban,129759.15,816.04,0.0,744.16,0,Unpossessed,Rural,1,165651.5,84343.45,True
M,24.0,0.0,Low,State servant,High skill tech staff,Semi-Urban,30352.0,147.49,1.0,683.65,1,Active,Semi-Urban,1,47782.07,19728.8,True
F,18.0,5070.72,Low,Commercial associate,Medicine staff,Urban,36775.0,305.14,2.0,650.83,0,Unpossessed,Semi-Urban,1,41019.91,25742.5,True
M,18.0,949.48,Low,Commercial associate,Sales staff,Rural,71883.69,340.64,6.0,686.52,0,Unpossessed,Rural,1,126563.87,46724.4,True
M,45.0,1276.56,Low,Working,Not available,Semi-Urban,45976.53,167.44,2.0,759.45,1,Active,Rural,1,72162.47,34482.4,True
M,58.0,2518.41,Low,Commercial associate,High skill tech staff,Urban,69977.37,451.55,0.0,749.37,1,Active,Semi-Urban,1,88677.1,45485.29,True
F,58.0,2476.83,Low,Working,Laborers,Semi-Urban,201892.08,513.33,2.0,867.07,1,Active,Urban,0,299163.28,171608.27,True
M,41.0,2824.94,Low,State servant,Laborers,Semi-Urban,46688.03,276.55,3.0,690.74,0,Unpossessed,Semi-Urban,1,52009.23,30347.22,True
F,27.0,2932.94,Low,Commercial associate,Not available,Semi-Urban,162872.74,401.14,2.0,720.21,0,Active,Urban,1,216589.47,114010.92,True
F,48.0,3860.34,Low,Working,Security staff,Semi-Urban,177212.06,515.98,2.0,718.54,1,Active,Rural,1,269732.88,124048.44,True
M,61.0,1817.65,Low,Working,Managers,Semi-Urban,73958.63,396.74,3.0,799.22,0,Unpossessed,Rural,1,106324.5,59166.9,True
F,23.0,5351.7775,Low,Working,Drivers,Urban,127108.02,456.97,4.0,690.67,0,Unpossessed,Urban,1,221443.02,88975.61,True
F,18.0,3157.37,Low,Commercial associate,Not available,Semi-Urban,33912.57,224.81,2.0,740.04,0,Unpossessed,Semi-Urban,1,57016.37,22043.17,True
F,20.0,3676.06,Low,Commercial associate,Not available,Rural,31919.11,265.93,1.0,729.46,0,Active,Rural,1,54224.46,20747.42,True
M,47.0,0.0,Low,Working,Sales staff,Semi-Urban,51469.86,353.75,2.0,681.62,0,Unpossessed,Semi-Urban,1,67956.18,33455.41,True
M,31.0,2593.05,Low,Working,Drivers,Semi-Urban,37872.4,163.3,3.0,711.58,0,Active,Semi-Urban,1,53452.32,26510.68,True
M,35.0,2354.11,Low,Working,Laborers,Semi-Urban,54035.28,429.54,1.0,679.67,0,Unpossessed,Urban,1,96412.52,35122.93,True
F,32.0,2797.82,Low,Commercial associate,Not available,Semi-Urban,78832.54,289.65,1.0,702.2,1,Inactive,Semi-Urban,1,121983.16,55182.78,True
F,45.0,0.0,Low,Working,Laborers,Semi-Urban,74485.62,366.54,4.0,733.11,0,Active,Urban,1,137549.57,52139.93,True
F,18.0,1988.16,Low,Working,Laborers,Semi-Urban,42317.98,243.75,2.0,670.74,0,Active,Rural,1,55845.87,27506.69,True
F,54.0,1538.53,Low,Working,Laborers,Semi-Urban,38859.57,202.44,1.0,781.93,0,Active,Rural,1,45396.65,27201.7,True
F,44.0,4484.45,Low,Working,Laborers,Semi-Urban,96629.14,479.79,3.0,650.52,0,Inactive,Rural,1,156227.77,62808.94,True
F,62.0,2866.0,High,Pensioner,Retired,Semi-Urban,143183.96,800.97,2.0,847.56,0,Inactive,Rural,0,224971.11,107387.97,True
F,47.0,2420.43,Low,Commercial associate,Managers,Semi-Urban,81736.95,378.31,2.0,775.47,0,Unpossessed,Semi-Urban,1,104156.43,61302.71,True
M,62.0,2240.41,High,Pensioner,Retired,Semi-Urban,119722.88,339.54,2.0,865.01,0,Active,Semi-Urban,0,219820.13,89792.16,True
M,47.0,2473.46,Low,Working,Drivers,Semi-Urban,125592.86,665.46,2.0,878.61,0,Unpossessed,Rural,1,227324.77,100474.29,True
F,18.0,2543.15,Low,Working,Not available,Urban,25914.34,167.35,3.0,660.69,0,Active,Semi-Urban,1,33689.94,18140.04,True
M,18.0,933.22,Low,Working,Sales staff,Semi-Urban,45932.39,237.62,2.0,788.08,0,Active,Semi-Urban,1,86508.74,36745.91,True
F,44.0,3068.15,Low,Working,Not available,Semi-Urban,129966.43,333.84,0.0,740.04,1,Inactive,Rural,1,163655.2,90976.5,True
F,18.0,4082.21,Low,Working,Drivers,Semi-Urban,205839.0,787.75,2.0,699.33,0,Inactive,Semi-Urban,1,312385.25,144087.3,True
M,18.0,2072.73,Low,Commercial associate,High skill tech staff,Semi-Urban,102059.68,510.89,1.0,789.82,0,Active,Urban,1,146514.01,81647.74,True
F,18.0,1261.54,Low,Working,Not available,Urban,116912.6,528.48,2.0,691.75,0,Inactive,Semi-Urban,1,195669.31,81838.82,True
F,43.0,2847.39,Low,Working,Laborers,Semi-Urban,243996.87,659.89,2.0,772.02,1,Active,Semi-Urban,1,271517.02,170797.81,True
F,59.0,2582.16,Low,State servant,Core staff,Semi-Urban,45293.63,177.64,1.0,738.49,0,Unpossessed,Semi-Urban,1,82886.97,31705.54,True
F,18.0,5031.93,Low,Working,Managers,Semi-Urban,85680.51,233.04,2.0,740.04,0,Active,Semi-Urban,1,122567.75,59976.36,True
M,51.0,1711.53,Low,Commercial associate,High skill tech staff,Semi-Urban,38638.03,346.61,2.0,883.21,0,Inactive,Semi-Urban,1,66947.3,27046.62,True
F,65.0,2359.37,High,Pensioner,Retired,Rural,33459.28,327.78,2.0,789.37,0,Active,Urban,1,40745.72,25094.46,True
M,47.0,1842.28,Low,Working,Managers,Semi-Urban,80522.5,287.84,2.0,778.66,0,Active,Semi-Urban,1,125605.03,56365.75,True
M,65.0,2435.65,High,Pensioner,Retired,Semi-Urban,39475.24,249.64,0.0,856.52,0,Inactive,Rural,0,59646.75,31580.19,True
F,45.0,1949.24,Low,Working,Medicine staff,Semi-Urban,84576.97,402.42,3.0,802.16,0,Active,Semi-Urban,1,154925.25,59203.88,True
F,57.0,0.0,Low,Working,Sales staff,Semi-Urban,198573.15,539.52,0.0,770.18,1,Active,Urban,1,286001.69,158858.52,True
F,41.0,3532.67,Low,State servant,Not available,Urban,31883.1,271.47,1.0,729.09,0,Unpossessed,Rural,1,46611.52,20724.02,True
F,23.0,0.0,Low,Commercial associate,Laborers,Rural,33349.46,202.66,2.0,790.05,1,Unpossessed,Semi-Urban,1,45499.72,23344.62,True
F,39.0,2537.84,Low,Working,Managers,Semi-Urban,153775.37,825.7,2.0,660.41,1,Inactive,Rural,1,212026.89,107642.76,True
F,60.0,1492.84,Low,Working,Not available,Semi-Urban,20613.67,252.14,2.0,718.94,1,Inactive,Semi-Urban,1,26646.73,13398.89,True
M,24.0,1361.64,Low,Working,Sales staff,Semi-Urban,25124.98,161.65,4.0,825.63,1,Active,Rural,1,44716.75,20099.98,True
F,18.0,2755.19,Low,Working,Private service staff,Rural,118858.19,576.12,2.0,791.88,0,Active,Semi-Urban,1,160866.18,95086.55,True
F,58.0,0.0,Low,State servant,Core staff,Semi-Urban,123249.23,596.56,3.0,815.92,0,Unpossessed,Rural,1,174779.42,86274.46,True
M,61.0,1823.38,Low,Working,Not available,Semi-Urban,80967.39,0.0,4.0,734.21,1,Active,Rural,1,107234.7,52628.8,True
M,31.0,1217.79,Low,State servant,Medicine staff,Rural,24881.81,161.96,3.0,658.43,0,Unpossessed,Semi-Urban,1,46906.25,17417.27,True
F,26.0,1848.29,Low,Commercial associate,Core staff,Semi-Urban,24670.61,123.87,1.0,660.82,0,Unpossessed,Rural,1,46701.18,17269.43,True
M,28.0,2024.13,Low,Working,Laborers,Semi-Urban,92258.98,467.57,3.0,710.75,1,Active,Semi-Urban,1,157330.14,59968.34,True
F,61.0,0.0,Low,State servant,Drivers,Urban,60202.56,418.97,3.0,657.28,1,Active,Semi-Urban,1,71748.63,42141.79,True
M,38.0,4041.0,Low,Commercial associate,Not available,Semi-Urban,93854.55,487.01,2.0,830.58,0,Inactive,Semi-Urban,1,139434.31,65698.18,True
F,27.0,1994.75,Low,Working,HR staff,Urban,36377.37,350.4,2.0,819.2,0,Unpossessed,Semi-Urban,1,42834.39,27283.03,True
F,37.0,5351.7775,Low,Commercial associate,Managers,Semi-Urban,41928.57,223.13,2.0,727.79,0,Active,Rural,1,73074.43,29350.0,True
M,18.0,2609.34,Low,Working,High skill tech staff,Semi-Urban,111474.58,529.55,3.0,820.35,1,Inactive,Rural,1,169304.3,89179.66,True
M,65.0,1820.71,High,Pensioner,Retired,Semi-Urban,40112.7,272.71,2.0,828.45,1,Unpossessed,Urban,1,71901.33,28078.89,True
M,18.0,2173.47,Low,Working,Laborers,Semi-Urban,201138.88,810.79,1.0,704.93,0,Active,Rural,1,369850.44375,140797.22,True
F,59.0,1702.94,Low,Working,High skill tech staff,Semi-Urban,77110.87,448.8,2.0,700.83,0,Inactive,Rural,1,141152.36,53977.61,True
M,18.0,1061.78,Low,Commercial associate,Not available,Semi-Urban,20533.15,153.29,2.0,771.2,0,Unpossessed,Urban,1,33214.84,16426.52,True
F,52.0,0.0,Low,Working,Drivers,Semi-Urban,33191.3,163.16,0.0,755.61,0,Active,Rural,1,55478.64,23233.91,True
F,43.0,2720.81,Low,Working,Managers,Urban,87669.71,553.9,0.0,814.93,0,Active,Urban,1,148418.53,61368.8,True
F,28.0,2036.94,Low,Commercial associate,Managers,Semi-Urban,95786.56,450.45,2.0,737.97,0,Inactive,Semi-Urban,1,127322.79,67050.59,True
F,51.0,1830.2,Low,Working,Laborers,Semi-Urban,41789.77,190.78,4.0,654.55,0,Active,Rural,1,71242.05,27163.35,True
F,57.0,1656.18,Low,Working,Accountants,Semi-Urban,46154.19,272.3,2.0,757.5,0,Unpossessed,Urban,1,72333.84,32307.93,True
M,18.0,1511.82,Low,State servant,Medicine staff,Rural,55941.68,290.03,1.0,821.83,0,Unpossessed,Urban,1,88729.48,41956.26,True
M,30.0,1710.47,Low,Working,Laborers,Semi-Urban,48933.33,214.78,1.0,702.61,0,Active,Urban,1,60682.2,31806.66,True
M,64.0,4247.53,Low,State servant,Not available,Semi-Urban,165490.59,711.54,4.0,740.04,0,Active,Semi-Urban,1,241082.19,124117.94,True
F,46.0,0.0,Low,Working,Not available,Urban,117878.22,889.71,2.0,810.57,0,Active,Urban,1,186459.17,82514.75,True
F,58.0,1299.82,Low,Working,Sales staff,Semi-Urban,84844.96,450.91,3.0,690.37,0,Active,Rural,1,103788.39,55149.22,True
F,63.0,3896.04,Low,Commercial associate,Accountants,Rural,115480.32,557.86,2.0,780.97,0,Active,Urban,1,156734.16,92384.26,True
M,28.0,1590.91,Low,Working,Laborers,Semi-Urban,47475.48,176.28,3.0,659.71,0,Inactive,Semi-Urban,1,86213.05,30859.06,True
F,20.0,2158.58,Low,State servant,High skill tech staff,Semi-Urban,16729.4,114.47,1.0,831.11,1,Inactive,Semi-Urban,1,31428.8,11710.58,True
M,60.0,2631.19,Low,Commercial associate,Laborers,Semi-Urban,82078.7,555.82,1.0,660.95,0,Unpossessed,Semi-Urban,1,115441.96,53351.16,True
F,46.0,0.0,Low,State servant,Cleaning staff,Semi-Urban,77733.1,258.14,2.0,845.35,0,Active,Rural,1,135516.19,58299.82,True
M,46.0,1545.76,Low,Working,Security staff,Semi-Urban,49325.12,208.8,0.0,740.04,0,Inactive,Semi-Urban,1,56808.05,34527.58,True
F,65.0,0.0,Low,Pensioner,Retired,Semi-Urban,71793.26,304.89,2.0,740.04,1,Inactive,Urban,1,84475.29,50255.28,True
M,63.0,1029.04,Low,Working,Cleaning staff,Semi-Urban,24674.88,118.95,1.0,705.0,0,Inactive,Rural,1,35959.89,16038.67,True
M,50.0,1594.55,Low,Working,Laborers,Semi-Urban,53515.31,269.89,2.0,753.09,0,Unpossessed,Rural,1,74151.75,40136.48,True
F,38.0,1835.59,Low,Commercial associate,Core staff,Semi-Urban,75127.54,231.06,4.0,721.97,0,Unpossessed,Rural,1,117539.23,52589.28,True
F,31.0,5351.7775,Low,Commercial associate,Laborers,Urban,124844.02,611.52,2.0,844.93,0,Inactive,Urban,1,206915.03,99875.22,True
F,18.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,37362.09,425.78,2.0,859.69,0,Unpossessed,Urban,1,68549.22,26153.46,True
F,18.0,2760.73,Low,Commercial associate,Not available,Semi-Urban,141482.33,452.82,4.0,859.07,0,Inactive,Semi-Urban,1,252306.92,106111.75,True
M,20.0,3366.9,Low,Working,Laborers,Semi-Urban,120370.82,665.35,4.0,705.32,1,Inactive,Semi-Urban,1,194302.22,78241.03,True
M,59.0,2114.52,Low,State servant,Core staff,Semi-Urban,34132.94,333.64,3.0,855.44,0,Unpossessed,Semi-Urban,1,53368.78,25599.7,True
F,18.0,1703.81,Low,Commercial associate,Cooking staff,Rural,69589.96,399.0,0.0,740.04,0,Active,Urban,1,116097.24,48712.97,True
M,53.0,623.41,Low,Working,Laborers,Rural,76177.22,358.49,4.0,780.42,0,Unpossessed,Urban,1,131412.07,53324.05,True
M,19.0,2424.29,Low,Working,Sales staff,Semi-Urban,82562.52,511.23,2.0,732.27,0,Active,Urban,1,123023.0,53665.64,True
M,62.0,2002.67,High,Pensioner,Retired,Rural,19384.83,92.94,2.0,796.85,0,Unpossessed,Semi-Urban,1,29364.39,14538.62,True
M,28.0,1538.56,Low,Working,Sales staff,Semi-Urban,66477.26,332.06,4.0,704.95,0,Unpossessed,Semi-Urban,1,86019.45,43210.22,True
M,25.0,1949.12,Low,Working,Core staff,Rural,52241.75,244.93,4.0,777.35,1,Active,Urban,1,75841.36,36569.22,True
F,36.0,4329.4,Low,Working,Private service staff,Semi-Urban,72492.64,446.95,3.0,717.04,1,Inactive,Rural,1,101546.21,50744.85,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,136997.0,364.03,2.0,655.4,0,Active,Semi-Urban,0,201672.58,89048.05,True
F,57.0,5351.7775,Low,Commercial associate,Managers,Semi-Urban,125709.05,946.50875,3.0,789.84,1,Unpossessed,Urban,1,160351.89,94281.79,True
F,62.0,2158.95,Low,Working,Medicine staff,Rural,44166.24,321.64,4.0,657.45,0,Unpossessed,Semi-Urban,1,71149.44,30916.37,True
