Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan sanctioned
F,18.0,1497.63,Low,Working,Sales staff,Rural,64824.86,488.63,0.0,861.18,0,Unpossessed,Semi-Urban,1,97672.51,True
M,53.0,2027.99,Low,Working,Sales staff,Semi-Urban,22495.2,196.45,2.0,658.48,1,Active,Semi-Urban,1,31346.36,True
F,61.0,0.0,Low,Working,Accountants,Semi-Urban,126801.99,557.43,4.0,740.04,0,Inactive,Rural,1,158350.89,True
F,41.0,1856.28,Low,Commercial associate,Drivers,Semi-Urban,50163.42,183.35,3.0,723.65,0,Unpossessed,Semi-Urban,1,92663.1,True
F,44.0,791.3,Low,State servant,Security staff,Semi-Urban,76892.43,308.73,3.0,657.88,0,Active,Semi-Urban,1,101052.28,True
M,18.0,2070.05,Low,Working,Laborers,Semi-Urban,97552.93,423.33,1.0,688.22,1,Unpossessed,Urban,1,180011.26,True
F,36.0,2083.83,Low,Working,Laborers,Semi-Urban,18924.21,166.59,1.0,763.53,0,Active,Semi-Urban,1,33169.81,True
F,36.0,1261.35,Low,Working,Sales staff,Rural,113818.63,436.9,3.0,727.63,0,Unpossessed,Rural,1,183655.37,True
M,24.0,1585.61,Low,Commercial associate,Laborers,Semi-Urban,39313.23,386.06,2.0,684.25,0,Inactive,Semi-Urban,1,72967.08,True
M,18.0,1524.58,Low,State servant,Core staff,Semi-Urban,31335.51,383.57,3.0,664.53,1,Unpossessed,Rural,1,42431.1,True
F,65.0,1064.44,High,Pensioner,Retired,Semi-Urban,27752.82,136.57,1.0,727.37,0,Unpossessed,Semi-Urban,1,36331.63,True
F,28.0,2835.26,Low,Working,Not available,Semi-Urban,103450.59,366.25,1.0,834.82,0,Inactive,Rural,1,114404.12,True
F,37.0,1748.52,Low,Working,Core staff,Semi-Urban,82294.04,524.45,1.0,818.37,0,Unpossessed,Semi-Urban,1,144608.34,True
M,60.0,1689.26,Low,Working,Core staff,Semi-Urban,49970.52,242.4,1.0,740.53,1,Unpossessed,Urban,1,80801.02,True
M,19.0,2695.35,Low,State servant,Core staff,Urban,213965.67,679.02,3.0,780.0,0,Inactive,Rural,1,342188.40624999994,True
M,42.0,2789.19,Low,Working,Not available,Semi-Urban,70768.21,424.89,3.0,739.61,0,Active,Urban,1,111088.86,True
F,62.0,2322.47,Low,Commercial associate,Laborers,Rural,46150.78,317.03,0.0,776.6,1,Active,Urban,1,58154.35,True
F,60.0,2534.41,Low,Working,Laborers,Semi-Urban,43159.69,349.29,2.0,811.45,1,Unpossessed,Urban,1,56977.2,True
M,18.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,33779.99,182.34,0.0,706.72,0,Active,Urban,1,37189.46,True
M,24.0,1343.55,Low,State servant,Security staff,Semi-Urban,39904.37,256.11,3.0,716.37,0,Active,Semi-Urban,1,51972.94,True
M,61.0,1034.51,High,Pensioner,Retired,Semi-Urban,117409.42,327.75,1.0,857.96,0,Inactive,Rural,1,221004.95,True
F,62.0,0.0,High,Pensioner,Retired,Semi-Urban,10083.56,109.28,1.0,840.83,0,Inactive,Rural,1,15811.33,True
M,29.0,1829.72,Low,Working,Laborers,Semi-Urban,34447.37,269.76,3.0,719.14,0,Active,Rural,1,58765.19,True
M,51.0,1174.2,Low,Working,Laborers,Semi-Urban,18875.7,101.26,4.0,686.15,0,Active,Semi-Urban,1,25355.45,True
F,19.0,1659.62,Low,Commercial associate,Core staff,Urban,73031.17,369.72,4.0,740.04,0,Active,Urban,1,97857.61,True
M,18.0,1623.71,Low,Working,High skill tech staff,Semi-Urban,74743.6,247.78,3.0,755.11,1,Unpossessed,Urban,1,91492.0,True
F,24.0,1974.81,Low,Commercial associate,Core staff,Semi-Urban,92974.33,410.61,2.0,863.51,0,Inactive,Semi-Urban,1,148426.21,True
F,57.0,1918.46,Low,Working,Laborers,Urban,40855.1,243.76,3.0,668.13,0,Inactive,Rural,1,60654.06,True
F,33.0,4049.57,Low,Working,Drivers,Semi-Urban,45788.43,235.76,4.0,743.93,0,Active,Rural,1,59582.32,True
M,20.0,4741.57,Low,Commercial associate,Managers,Semi-Urban,229826.46625,773.28,1.0,675.96,0,Active,Urban,1,342188.40624999994,True
M,44.0,2756.92,Low,Working,Private service staff,Semi-Urban,33093.59,334.59,4.0,713.59,0,Active,Semi-Urban,1,60365.82,True
M,45.0,1611.61,Low,Commercial associate,Laborers,Semi-Urban,30690.78,316.48,2.0,800.06,0,Inactive,Rural,1,38527.26,True
M,65.0,3476.24,High,Pensioner,Retired,Semi-Urban,38473.68,190.27,1.0,880.16,0,Active,Semi-Urban,0,56609.45,True
F,55.0,1391.26,Low,Commercial associate,Core staff,Semi-Urban,31139.14,381.09,2.0,677.07,0,Unpossessed,Rural,1,52888.02,True
F,18.0,1296.65,Low,Working,Waiters/barmen staff,Rural,37262.95,185.38,2.0,688.18,1,Unpossessed,Rural,1,52554.01,True
F,53.0,2936.04,Low,Working,Not available,Semi-Urban,184974.57,600.77,1.0,671.13,0,Inactive,Semi-Urban,1,336580.58,True
M,28.0,2972.8,Low,Working,High skill tech staff,Urban,114551.13,912.1887499999999,4.0,841.87,0,Inactive,Rural,1,162386.85,True
M,37.0,2674.59,Low,Working,Laborers,Semi-Urban,120839.9,475.72,2.0,671.25,0,Active,Semi-Urban,1,222568.77,True
M,42.0,1798.44,Low,Working,Core staff,Semi-Urban,38887.03,183.19,3.0,702.59,0,Inactive,Rural,1,45539.38,True
F,59.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,42369.92,212.34,1.0,822.73,1,Inactive,Semi-Urban,1,68492.29,True
F,46.0,3627.5,Low,Working,Accountants,Semi-Urban,203175.86,882.38,3.0,771.07,0,Active,Semi-Urban,1,304616.77,True
M,45.0,2681.48,Low,Working,Managers,Semi-Urban,79873.8,377.98,2.0,719.49,1,Inactive,Urban,1,124453.89,True
F,21.0,2329.57,Low,Working,Sales staff,Semi-Urban,125877.48,336.99,2.0,832.59,1,Unpossessed,Urban,1,186710.97,True
F,58.0,1230.73,Low,Working,Core staff,Rural,91982.81,432.01,1.0,680.34,0,Unpossessed,Rural,1,105878.68,True
M,44.0,1284.98,Low,Commercial associate,Sales staff,Semi-Urban,54067.53,416.72,4.0,740.04,1,Unpossessed,Urban,1,98216.89,True
M,44.0,1047.91,Low,State servant,Medicine staff,Rural,25374.13,107.2,2.0,740.04,0,Active,Urban,1,44560.19,True
F,62.0,3364.63,Low,Working,Medicine staff,Rural,35771.91,182.32,2.0,828.0,0,Active,Rural,1,63230.92,True
F,39.0,3027.91,Low,State servant,Managers,Semi-Urban,35897.41,347.81,2.0,801.75,0,Inactive,Semi-Urban,1,42391.82,True
F,47.0,1522.64,Low,Commercial associate,Not available,Semi-Urban,47146.33,289.62,4.0,672.74,0,Active,Rural,1,71191.3,True
F,52.0,0.0,Low,Commercial associate,Accountants,Rural,72344.94,406.88,4.0,740.04,0,Unpossessed,Semi-Urban,1,92149.98,True
F,59.0,0.0,Low,Working,Not available,Urban,163027.22,474.16,3.0,831.66,0,Inactive,Rural,1,181277.89,True
M,18.0,2761.45,Low,Working,Sales staff,Rural,69026.12,270.75,2.0,740.04,0,Active,Urban,1,117395.64,True
M,60.0,0.0,High,Pensioner,Retired,Semi-Urban,20952.81,231.37,2.0,838.35,0,Inactive,Semi-Urban,1,26118.15,True
M,64.0,2379.42,Low,Commercial associate,Sales staff,Semi-Urban,91519.3,462.77,4.0,716.87,0,Inactive,Urban,1,152686.35,True
F,33.0,0.0,Low,Working,Core staff,Rural,70621.78,682.06,3.0,740.04,0,Inactive,Urban,1,109854.11,True
M,22.0,2632.5,Low,Working,High skill tech staff,Semi-Urban,37735.43,128.51,3.0,850.64,0,Active,Semi-Urban,1,65635.19,True
F,20.0,1827.4,Low,Working,Sales staff,Rural,47830.23,248.84,1.0,741.56,0,Inactive,Rural,1,89283.89,True
F,36.0,3535.41,Low,Working,Laborers,Rural,68795.26,401.68,2.0,736.57,0,Unpossessed,Rural,1,85285.5,True
F,65.0,572.91,High,Pensioner,Retired,Semi-Urban,36269.63,264.94,3.0,740.04,0,Unpossessed,Semi-Urban,0,39907.99,True
F,52.0,0.0,Low,Working,Sales staff,Semi-Urban,44559.68,270.84,0.0,792.23,1,Inactive,Urban,1,60817.6,True
M,34.0,1700.43,Low,Working,Drivers,Rural,29511.01,165.72,2.0,737.31,0,Inactive,Rural,1,44182.25,True
M,18.0,1886.27,Low,Working,Medicine staff,Rural,103958.66,264.45,1.0,740.04,0,Inactive,Semi-Urban,1,183543.68,True
M,41.0,984.97,Low,Working,Core staff,Semi-Urban,20871.52,168.96,3.0,788.46,0,Active,Rural,1,38716.48,True
F,27.0,2892.17,Low,Commercial associate,Laborers,Semi-Urban,85770.9,422.84,3.0,802.83,0,Inactive,Semi-Urban,1,115585.59,True
M,18.0,1384.78,Low,Working,Core staff,Semi-Urban,30835.51,369.44,2.0,742.55,0,Active,Rural,1,56228.5,True
F,45.0,4548.33,Low,Working,Drivers,Urban,37211.31,0.0,2.0,748.76,0,Unpossessed,Urban,1,64530.38,True
F,60.0,1892.04,Low,Working,High skill tech staff,Semi-Urban,144246.54,731.6,2.0,669.41,0,Unpossessed,Urban,1,206445.8,True
M,57.0,4003.54,Low,Working,Cleaning staff,Semi-Urban,116395.55,357.49,4.0,783.1,0,Unpossessed,Rural,1,180208.09,True
M,18.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,135332.7,425.92,5.0,715.23,0,Unpossessed,Urban,1,251445.71,True
M,63.0,2494.52,Low,Commercial associate,Managers,Semi-Urban,62917.35,325.5,2.0,827.13,0,Inactive,Semi-Urban,1,76575.32,True
F,48.0,1224.27,Low,Working,Laborers,Semi-Urban,53516.94,288.58,2.0,651.76,0,Inactive,Rural,1,70137.69,True
F,44.0,2631.84,Low,Working,Not available,Semi-Urban,41159.95,184.31,3.0,681.74,0,Unpossessed,Rural,1,61631.74,True
F,21.0,1779.5,Low,Working,Core staff,Semi-Urban,56095.34,262.38,2.0,822.82,0,Active,Semi-Urban,1,92612.15,True
F,53.0,0.0,Low,Working,Medicine staff,Semi-Urban,89445.24,258.21,2.0,673.09,0,Active,Rural,1,126219.02,True
F,30.0,3953.6,Low,Commercial associate,Managers,Urban,153844.02,529.13,3.0,789.98,1,Active,Semi-Urban,1,287838.5,True
F,25.0,0.0,Low,State servant,Not available,Urban,106642.07,608.87,1.0,733.88,0,Active,Rural,1,180503.05,True
F,46.0,5137.077499999999,Low,Working,Core staff,Urban,211985.54,912.1887499999999,3.0,846.61,0,Active,Semi-Urban,1,342188.40624999994,True
M,39.0,1458.31,Low,Commercial associate,Sales staff,Rural,36976.03,187.12,4.0,652.49,0,Active,Urban,1,58336.98,True
F,44.0,2588.09,Low,Working,Drivers,Semi-Urban,61646.41,308.62,2.0,671.22,0,Inactive,Semi-Urban,1,115264.7,True
M,18.0,0.0,Low,Working,Laborers,Semi-Urban,46995.69,459.09,2.0,740.04,0,Unpossessed,Rural,1,73503.09,True
M,29.0,0.0,Low,State servant,Accountants,Semi-Urban,67908.77,336.6,1.0,656.27,0,Inactive,Rural,1,119836.04,True
F,47.0,3445.46,Low,State servant,Not available,Urban,131609.77,695.04,2.0,881.2,0,Inactive,Semi-Urban,1,246303.04,True
M,58.0,0.0,Low,Commercial associate,Core staff,Urban,229826.46625,912.1887499999999,2.0,817.64,0,Unpossessed,Rural,1,342188.40624999994,True
M,18.0,0.0,Low,Commercial associate,Managers,Semi-Urban,62522.77,327.1,1.0,849.97,0,Unpossessed,Urban,1,86538.13,True
M,45.0,1688.58,Low,Working,Managers,Rural,50429.7,334.1,2.0,760.07,0,Inactive,Semi-Urban,1,89365.93,True
M,35.0,1570.12,Low,Commercial associate,Sales staff,Semi-Urban,151852.59,490.26,1.0,862.6,0,Inactive,Semi-Urban,1,266150.45,True
F,26.0,1405.55,Low,Commercial associate,Laborers,Rural,20281.18,208.54,4.0,712.17,0,Inactive,Semi-Urban,1,27912.88,True
F,24.0,0.0,Low,Commercial associate,Not available,Rural,36624.03,186.74,2.0,811.77,0,Unpossessed,Rural,1,59111.08,True
F,23.0,1880.03,Low,Commercial associate,Sales staff,Semi-Urban,71521.61,325.21,4.0,724.27,0,Inactive,Urban,1,108931.47,True
M,35.0,1427.4,Low,Commercial associate,Cleaning staff,Semi-Urban,136588.6,433.35,3.0,812.36,0,Inactive,Urban,1,231344.3,True
F,18.0,0.0,Low,State servant,Core staff,Rural,140777.85,451.94,4.0,715.03,0,Active,Rural,1,228978.7,True
F,39.0,1220.47,Low,Working,Laborers,Semi-Urban,6645.56,67.41,0.0,741.93,0,Unpossessed,Urban,1,10937.76,True
M,59.0,0.0,Low,Working,Not available,Rural,43332.96,179.17,4.0,696.93,0,Active,Rural,1,80094.29,True
M,46.0,1900.73,Low,Working,Drivers,Semi-Urban,71677.59,356.2,2.0,696.05,0,Active,Rural,1,134910.09,True
F,18.0,2065.69,Low,Working,High skill tech staff,Semi-Urban,102916.0,508.23,3.0,827.94,1,Unpossessed,Semi-Urban,1,147536.23,True
M,19.0,3238.78,Low,Commercial associate,Managers,Rural,146718.52,436.01,3.0,750.16,0,Inactive,Urban,1,258684.0,True
F,34.0,1869.26,Low,Commercial associate,Drivers,Semi-Urban,27697.75,271.22,2.0,661.67,0,Inactive,Urban,1,41461.12,True
M,64.0,2393.18,High,Pensioner,Retired,Semi-Urban,112376.08,451.66,1.0,772.95,0,Unpossessed,Rural,1,203307.58,True
F,44.0,3134.85,Low,State servant,HR staff,Urban,152919.17,719.95,0.0,780.76,0,Unpossessed,Rural,1,191912.78,True
M,48.0,0.0,Low,Commercial associate,Cooking staff,Semi-Urban,43986.44,200.45,2.0,758.38,0,Active,Semi-Urban,1,56740.05,True
F,60.0,0.0,Low,Working,High skill tech staff,Semi-Urban,62706.27,496.48,2.0,733.32,0,Active,Semi-Urban,1,100385.85,True
F,57.0,1803.27,Low,Working,Drivers,Semi-Urban,113351.78,526.23,1.0,686.7,0,Active,Rural,1,189220.93,True
F,56.0,3180.76,Low,Commercial associate,Managers,Urban,179191.22,557.82,2.0,653.12,1,Inactive,Rural,1,204268.53,True
M,42.0,3326.15,Low,Commercial associate,Sales staff,Urban,153334.9,550.59,1.0,879.21,0,Unpossessed,Urban,1,235909.3,True
F,22.0,5137.077499999999,Low,Working,Core staff,Rural,229826.46625,814.64,3.0,740.04,0,Inactive,Rural,1,342188.40624999994,True
F,18.0,1834.25,Low,Working,Not available,Rural,37098.3,273.12,2.0,879.8,1,Inactive,Rural,1,56604.55,True
F,41.0,3856.63,Low,Commercial associate,Laborers,Semi-Urban,99375.73,444.03,2.0,740.04,1,Unpossessed,Urban,1,131387.42,True
M,32.0,0.0,Low,Working,Sales staff,Rural,101825.79,340.04,3.0,759.09,0,Unpossessed,Rural,1,134330.96,True
M,60.0,3647.48,Low,Working,Accountants,Semi-Urban,92025.17,271.1,2.0,758.65,0,Active,Rural,1,119475.01,True
M,53.0,3273.29,Low,Working,Managers,Semi-Urban,72818.6,682.26,3.0,763.59,1,Unpossessed,Semi-Urban,1,114475.12,True
F,64.0,2007.96,High,Pensioner,Retired,Semi-Urban,48898.4,279.87,2.0,821.25,0,Inactive,Rural,0,69505.0,True
F,18.0,938.37,Low,Working,Private service staff,Semi-Urban,66802.39,342.43,2.0,800.23,0,Unpossessed,Semi-Urban,1,93997.47,True
F,65.0,1203.2,High,Pensioner,Retired,Semi-Urban,7843.49,75.83,2.0,740.04,0,Active,Semi-Urban,0,9841.91,True
F,18.0,1525.01,Low,Working,Laborers,Semi-Urban,102750.5,328.07,2.0,766.02,0,Unpossessed,Rural,1,156308.64,True
F,27.0,3373.64,Low,Working,Managers,Semi-Urban,74917.92,705.1,0.0,722.08,0,Unpossessed,Urban,1,117398.64,True
M,64.0,2036.97,High,Pensioner,Retired,Rural,151604.41,594.1,2.0,776.43,0,Active,Semi-Urban,1,268563.03,True
M,24.0,3336.74,Low,Working,High skill tech staff,Urban,99776.08,335.59,2.0,757.46,1,Inactive,Semi-Urban,1,165467.0,True
M,62.0,0.0,Low,Working,Sales staff,Semi-Urban,7543.26,84.68,0.0,754.11,0,Inactive,Urban,1,12905.86,True
F,47.0,0.0,Low,Working,Laborers,Semi-Urban,42414.73,225.28,3.0,777.76,0,Inactive,Rural,1,71734.38,True
M,27.0,2505.19,Low,Working,Not available,Semi-Urban,43157.84,402.97,0.0,834.76,0,Active,Urban,1,78904.42,True
M,57.0,1221.03,Low,Commercial associate,Not available,Semi-Urban,19708.48,89.25,1.0,833.25,1,Unpossessed,Rural,1,34596.96,True
F,50.0,0.0,Low,Working,Laborers,Semi-Urban,32830.28,345.98,2.0,740.04,0,Unpossessed,Semi-Urban,1,47804.94,True
M,28.0,4130.79,Low,Commercial associate,Not available,Urban,229826.46625,616.46,2.0,867.09,0,Active,Semi-Urban,1,342188.40624999994,True
F,28.0,1883.73,Low,Working,Drivers,Semi-Urban,123787.33,558.78,4.0,859.02,1,Unpossessed,Urban,1,147932.86,True
M,38.0,1703.4,Low,Commercial associate,High skill tech staff,Semi-Urban,49829.25,223.23,2.0,763.78,0,Unpossessed,Semi-Urban,1,87046.17,True
M,55.0,1416.29,Low,Commercial associate,Core staff,Rural,38428.57,209.94,1.0,729.0,1,Inactive,Semi-Urban,1,69301.71,True
F,29.0,3264.98,Low,Working,Not available,Semi-Urban,14844.61,140.38,2.0,809.89,0,Inactive,Urban,1,22244.41,True
F,63.0,1587.87,Low,Working,Not available,Semi-Urban,51822.68,233.57,3.0,740.04,0,Inactive,Rural,1,72910.4,True
F,54.0,2653.44,Low,Commercial associate,Security staff,Semi-Urban,122516.77,676.39,1.0,694.77,1,Unpossessed,Semi-Urban,1,184401.27,True
M,65.0,2015.44,High,Pensioner,Retired,Semi-Urban,95428.29,510.97,0.0,794.74,0,Inactive,Urban,0,111377.11,True
M,37.0,2762.56,Low,Working,Medicine staff,Semi-Urban,96211.78,299.4,2.0,850.62,1,Unpossessed,Rural,0,162685.41,True
M,18.0,1675.77,Low,Commercial associate,Laborers,Semi-Urban,140232.31,543.18,2.0,846.66,0,Active,Semi-Urban,1,219442.44,True
F,26.0,2379.12,Low,State servant,Managers,Semi-Urban,153392.75,638.19,2.0,802.64,0,Active,Urban,1,236060.33,True
F,64.0,1349.49,High,Pensioner,Retired,Semi-Urban,114494.67,339.94,1.0,803.39,1,Inactive,Rural,1,194183.75,True
F,44.0,0.0,Low,Working,Sales staff,Semi-Urban,30310.26,120.12,2.0,829.16,0,Unpossessed,Urban,1,50440.84,True
F,18.0,1040.48,Low,Working,Sales staff,Semi-Urban,74170.54,514.7,2.0,805.58,1,Inactive,Semi-Urban,1,100790.12,True
F,22.0,0.0,Low,State servant,Secretaries,Semi-Urban,154513.5,657.5,4.0,754.72,0,Inactive,Rural,1,197474.56,True
M,26.0,1597.77,Low,Commercial associate,Accountants,Semi-Urban,75331.35,360.03,3.0,693.03,1,Unpossessed,Semi-Urban,1,109541.18,True
M,33.0,1852.4,Low,Commercial associate,Sales staff,Semi-Urban,221106.55,792.0,2.0,836.25,0,Inactive,Rural,1,342188.40624999994,True
M,60.0,5137.077499999999,Low,Commercial associate,HR staff,Semi-Urban,99909.48,266.61,4.0,744.53,0,Unpossessed,Semi-Urban,1,119375.69,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,156691.66,498.53,0.0,853.36,0,Unpossessed,Urban,1,239275.28,True
F,27.0,4894.33,Low,Working,Laborers,Semi-Urban,132350.0,478.07,1.0,714.57,0,Inactive,Rural,1,206217.54,True
M,47.0,2102.81,Low,Commercial associate,Not available,Semi-Urban,81999.82,406.16,0.0,793.22,0,Active,Rural,1,129347.59,True
M,64.0,0.0,High,Pensioner,Retired,Semi-Urban,131148.11,698.08,2.0,862.55,0,Unpossessed,Semi-Urban,0,212409.67,True
F,18.0,2662.97,Low,Working,Drivers,Rural,52278.04,358.6,4.0,668.42,0,Unpossessed,Rural,1,96852.99,True
M,51.0,2764.09,Low,Working,Not available,Semi-Urban,116248.88,601.06,2.0,746.0,0,Active,Semi-Urban,1,199199.88,True
F,38.0,1245.75,Low,Working,Secretaries,Semi-Urban,40976.13,259.63,0.0,730.91,0,Inactive,Urban,1,52925.04,True
F,18.0,1092.21,Low,Working,Sales staff,Semi-Urban,94452.25,300.15,2.0,758.68,0,Active,Semi-Urban,1,122464.14,True
M,61.0,1215.75,Low,Commercial associate,Sales staff,Semi-Urban,25472.06,303.9,2.0,857.0,0,Inactive,Rural,1,41814.77,True
M,60.0,0.0,Low,Pensioner,Retired,Rural,112359.2,351.0,1.0,863.82,0,Active,Rural,1,162244.04,True
F,50.0,0.0,Low,Working,Medicine staff,Rural,39293.58,264.29,2.0,687.36,1,Active,Urban,1,68312.62,True
M,43.0,2083.48,Low,Working,Drivers,Semi-Urban,43939.48,230.76,3.0,696.44,0,Unpossessed,Urban,1,82090.14,True
F,18.0,2984.49,Low,Working,Waiters/barmen staff,Semi-Urban,113255.96,579.23,2.0,716.98,0,Unpossessed,Urban,1,187487.25,True
M,18.0,0.0,Low,Working,Sales staff,Semi-Urban,46082.94,216.04,2.0,740.04,0,Inactive,Rural,1,71448.33,True
M,45.0,1751.12,Low,Working,Core staff,Rural,61803.91,335.29,2.0,685.48,1,Inactive,Rural,1,89127.74,True
M,49.0,919.04,Low,Working,Laborers,Semi-Urban,12611.34,81.72,2.0,731.97,0,Unpossessed,Urban,1,16251.06,True
F,52.0,2106.03,Low,Working,Sales staff,Semi-Urban,28093.09,135.47,0.0,762.39,1,Active,Rural,1,42881.19,True
F,43.0,1248.73,Low,Commercial associate,Private service staff,Semi-Urban,118088.25,604.72,2.0,836.58,0,Unpossessed,Semi-Urban,1,214011.72,True
M,34.0,1708.59,Low,Working,Not available,Semi-Urban,88744.35,275.52,2.0,791.92,1,Active,Urban,1,125075.19,True
M,18.0,2205.79,Low,Working,Cooking staff,Semi-Urban,43319.75,189.67,4.0,766.81,0,Inactive,Urban,1,67941.76,True
F,65.0,1903.88,High,Pensioner,Retired,Semi-Urban,76163.69,320.59,1.0,721.65,0,Unpossessed,Semi-Urban,1,103805.2,True
F,18.0,3183.98,Low,Commercial associate,Sales staff,Semi-Urban,64271.04,409.5,2.0,756.24,0,Active,Semi-Urban,1,96757.86,True
F,31.0,4471.3,Low,Commercial associate,Managers,Semi-Urban,32874.33,166.96,1.0,659.54,0,Active,Semi-Urban,1,40026.99,True
F,18.0,0.0,Low,Working,High skill tech staff,Semi-Urban,121589.52,543.84,4.0,790.32,0,Active,Semi-Urban,1,159893.1,True
F,52.0,3845.62,Low,Working,Not available,Rural,49440.19,219.75,5.0,736.44,0,Unpossessed,Semi-Urban,1,77693.34,True
M,23.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,114395.16,605.89,4.0,725.82,0,Active,Rural,1,146589.25,True
M,49.0,958.64,Low,Working,Low-skill Laborers,Semi-Urban,10185.53,72.76,0.0,658.56,0,Unpossessed,Rural,1,14536.58,True
M,34.0,0.0,Low,Commercial associate,Managers,Urban,100742.37,912.1887499999999,0.0,829.88,1,Active,Rural,1,176740.94,True
F,18.0,2254.21,Low,Working,Drivers,Semi-Urban,119965.22,504.38,2.0,660.2,1,Active,Rural,1,161041.62,True
M,18.0,2033.23,Low,Working,Laborers,Semi-Urban,45853.77,342.71,1.0,661.74,0,Inactive,Semi-Urban,1,83537.51,True
M,46.0,4455.76,Low,Working,Not available,Semi-Urban,170006.66,810.96,2.0,693.1,1,Inactive,Urban,1,312525.35,True
M,65.0,5137.077499999999,High,Pensioner,Retired,Urban,171857.44,668.5,2.0,834.24,1,Active,Semi-Urban,1,269216.36,True
F,49.0,0.0,Low,State servant,Not available,Rural,179914.58,536.3,4.0,740.04,0,Unpossessed,Rural,1,274881.63,True
M,61.0,1574.85,Low,Working,Laborers,Rural,191221.45,660.1,2.0,739.98,0,Unpossessed,Urban,1,230515.08,True
F,30.0,4747.98,Low,Working,Accountants,Semi-Urban,119266.31,464.95,2.0,735.8,0,Inactive,Semi-Urban,1,216422.13,True
F,34.0,1344.05,Low,Working,Laborers,Semi-Urban,43394.98,299.77,1.0,652.23,0,Unpossessed,Rural,1,69145.8,True
F,63.0,2198.58,Low,Working,Managers,Semi-Urban,24994.68,156.46,2.0,744.9,0,Active,Semi-Urban,1,46509.52,True
F,59.0,1625.98,Low,Working,Security staff,Semi-Urban,50905.23,302.72,0.0,657.0,0,Inactive,Rural,1,81546.14,True
F,18.0,1736.29,Low,Commercial associate,Secretaries,Semi-Urban,77045.12,542.72,0.0,772.52,0,Unpossessed,Rural,1,124065.37,True
F,30.0,0.0,Low,Working,Laborers,Semi-Urban,65314.86,321.22,0.0,740.04,0,Unpossessed,Rural,1,96045.2,True
M,39.0,2826.25,Low,Working,Laborers,Semi-Urban,170751.29,447.47,4.0,659.36,1,Unpossessed,Rural,1,274751.81,True
M,57.0,4174.77,Low,Commercial associate,Managers,Rural,119323.27,587.32,2.0,724.02,0,Active,Rural,1,192967.32,True
M,18.0,1098.18,Low,Working,Laborers,Semi-Urban,77512.02,346.47,2.0,668.87,0,Inactive,Semi-Urban,1,129330.82,True
M,18.0,4884.24,Low,Working,Managers,Semi-Urban,203229.11,527.35,3.0,672.48,0,Unpossessed,Urban,1,342188.40624999994,True
M,50.0,4367.76,Low,Commercial associate,Managers,Urban,124970.46,593.08,3.0,795.81,0,Unpossessed,Rural,1,233215.53,True
M,60.0,1647.4,Low,Working,Low-skill Laborers,Rural,98792.43,291.23,1.0,694.57,0,Unpossessed,Urban,1,116719.85,True
M,42.0,1329.51,Low,Working,Drivers,Semi-Urban,19051.46,157.9,0.0,823.2,1,Inactive,Rural,1,33302.53,True
F,62.0,3442.54,High,Pensioner,Retired,Semi-Urban,83091.69,269.97,1.0,820.03,0,Active,Semi-Urban,1,99946.99,True
M,47.0,1683.39,Low,Working,Laborers,Semi-Urban,49534.44,280.87,2.0,740.04,1,Inactive,Semi-Urban,1,75187.77,True
F,37.0,4021.2,Low,Commercial associate,Medicine staff,Semi-Urban,229826.46625,912.1887499999999,2.0,828.81,0,Active,Rural,1,342188.40624999994,True
M,58.0,3204.55,Low,Working,Laborers,Rural,70140.21,285.46,2.0,756.57,1,Active,Rural,1,99158.59,True
M,18.0,1596.2,Low,Working,Medicine staff,Semi-Urban,37916.23,390.75,3.0,846.59,0,Inactive,Urban,1,53993.72,True
F,54.0,0.0,Low,Working,Not available,Semi-Urban,92349.94,681.17,2.0,853.79,0,Active,Rural,1,171566.03,True
F,43.0,1120.91,Low,Working,Core staff,Semi-Urban,84326.92,458.27,3.0,663.83,0,Unpossessed,Semi-Urban,1,148520.14,True
F,33.0,848.9,Low,Commercial associate,Managers,Rural,54477.71,378.08,2.0,762.47,0,Inactive,Semi-Urban,1,84004.59,True
M,65.0,1727.33,High,Pensioner,Retired,Semi-Urban,94363.36,323.21,2.0,765.21,0,Active,Urban,0,115317.0,True
F,26.0,0.0,Low,Commercial associate,Sales staff,Urban,79897.49,477.14,1.0,811.42,0,Inactive,Urban,1,96063.86,True
M,24.0,3022.45,Low,Commercial associate,Not available,Semi-Urban,137297.99,445.8,1.0,807.44,0,Active,Urban,1,226857.77,True
F,32.0,3172.71,Low,Commercial associate,Not available,Semi-Urban,68419.69,564.11,2.0,740.04,0,Inactive,Urban,1,94966.49,True
M,62.0,2240.41,High,Pensioner,Retired,Semi-Urban,119722.88,339.54,2.0,865.01,0,Active,Semi-Urban,0,219820.13,True
M,45.0,2792.06,Low,Commercial associate,Core staff,Urban,80680.15,206.71,2.0,809.23,1,Active,Rural,1,143907.94,True
