Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan sanctioned
M,60.0,3432.6,Low,Commercial associate,High skill tech staff,Urban,144412.38,920.3712499999999,2.0,867.56,0,Unpossessed,Semi-Urban,1,176000.21,True
M,31.0,2333.4,Low,Commercial associate,Sales staff,Semi-Urban,108935.59,415.29,1.0,824.35,0,Inactive,Semi-Urban,1,201021.28,True
F,18.0,1828.21,Low,State servant,Medicine staff,Semi-Urban,35548.91,396.51,4.0,668.2,0,Active,Semi-Urban,1,62551.76,True
F,33.0,1703.58,Low,Working,Not available,Semi-Urban,36815.09,203.76,2.0,673.43,0,Active,Rural,1,60747.87,True
F,26.0,2710.22,Low,Working,Laborers,Rural,185166.45,763.36,2.0,750.66,0,Inactive,Semi-Urban,1,308921.93,True
M,23.0,1271.85,Low,State servant,Laborers,Semi-Urban,15268.83,150.54,4.0,667.27,1,Active,Semi-Urban,1,26700.17,True
F,57.0,1256.6,Low,Working,Sales staff,Semi-Urban,156126.0,545.46,4.0,798.55,0,Active,Rural,1,294199.07,True
M,31.0,1874.01,Low,Working,Accountants,Semi-Urban,23178.68,116.47,2.0,755.77,0,Active,Rural,1,34091.79,True
M,48.0,1858.35,Low,Working,Not available,Semi-Urban,41902.11,193.69,2.0,800.38,1,Inactive,Semi-Urban,1,61933.2,True
M,61.0,2403.92,High,Pensioner,Retired,Semi-Urban,220763.16,554.39,0.0,848.76,0,Active,Semi-Urban,1,250766.81,True
M,45.0,1763.89,Low,Working,Accountants,Semi-Urban,127599.11,295.62,3.0,727.91,0,Inactive,Urban,1,162487.45,True
F,25.0,1796.32,Low,Working,Sales staff,Urban,86576.51,773.1,3.0,817.71,0,Active,Urban,1,111068.93,True
F,18.0,1408.77,Low,Working,Laborers,Semi-Urban,46694.03,243.74,4.0,731.68,1,Unpossessed,Rural,1,66252.62,True
F,18.0,1919.71,Low,Working,Drivers,Semi-Urban,127379.54,330.09,2.0,664.57,0,Unpossessed,Urban,1,186419.2,True
F,33.0,0.0,Low,Commercial associate,Laborers,Urban,174612.7,920.3712499999999,4.0,780.38,1,Unpossessed,Urban,1,233569.37,True
M,54.0,1865.28,Low,Working,Laborers,Semi-Urban,77236.4,396.04,2.0,824.29,1,Active,Semi-Urban,1,119507.39,True
F,31.0,1751.52,Low,Working,Drivers,Semi-Urban,124498.95,405.75,2.0,679.64,1,Active,Semi-Urban,1,229501.41,True
F,23.0,4947.51,Low,State servant,Security staff,Rural,66286.13,565.8,0.0,698.5,0,Inactive,Urban,1,113329.27,True
M,37.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,91060.78,437.48,2.0,662.46,1,Inactive,Semi-Urban,1,125384.83,True
F,19.0,1351.2,Low,Working,Drivers,Semi-Urban,32002.76,119.4,4.0,664.12,0,Unpossessed,Semi-Urban,1,59276.93,True
M,62.0,0.0,High,Pensioner,Retired,Semi-Urban,182155.11,769.15,2.0,688.37,0,Unpossessed,Urban,0,261900.2,True
M,18.0,1721.72,Low,Working,Sales staff,Semi-Urban,101825.06,562.91,2.0,736.99,0,Unpossessed,Rural,1,165748.72,True
M,18.0,0.0,Low,Working,Laborers,Rural,27902.49,96.89,0.0,825.87,0,Active,Semi-Urban,1,31916.91,True
M,37.0,0.0,Low,Commercial associate,Not available,Urban,230665.075,683.82,0.0,860.55,0,Unpossessed,Rural,1,319206.26,True
F,36.0,0.0,Low,Working,Cooking staff,Semi-Urban,74470.02,275.95,3.0,839.85,0,Unpossessed,Urban,1,127637.1,True
F,42.0,1960.98,Low,Working,Laborers,Semi-Urban,80761.58,365.63,5.0,704.18,0,Active,Rural,1,136222.34,True
M,52.0,0.0,Low,Working,Medicine staff,Semi-Urban,116711.2,622.92,2.0,766.61,0,Inactive,Urban,1,221376.45,True
M,26.0,1265.56,Low,Working,Not available,Rural,75013.01,580.03,2.0,731.46,0,Active,Rural,1,106265.94,True
M,35.0,0.0,Low,Working,Laborers,Semi-Urban,61379.51,306.63,1.0,736.05,1,Inactive,Semi-Urban,1,72408.0,True
M,64.0,940.96,High,Pensioner,Retired,Semi-Urban,58713.18,249.02,2.0,780.26,1,Active,Rural,1,72292.44,True
M,52.0,0.0,Low,Commercial associate,Medicine staff,Semi-Urban,230665.075,920.3712499999999,2.0,824.14,0,Inactive,Semi-Urban,1,344891.6775,True
M,47.0,2898.53,Low,State servant,Accountants,Semi-Urban,37650.79,230.72,5.0,784.91,0,Active,Semi-Urban,1,42259.04,True
F,49.0,1230.44,Low,Working,Secretaries,Semi-Urban,43294.07,209.01,2.0,787.26,0,Unpossessed,Semi-Urban,1,58588.71,True
F,60.0,1851.3,Low,Pensioner,Retired,Rural,161889.16,499.62,3.0,697.72,0,Active,Semi-Urban,1,230759.22,True
M,43.0,2938.54,Low,Working,Core staff,Semi-Urban,158483.93,424.62,1.0,681.26,0,Unpossessed,Urban,1,183531.52,True
M,56.0,2514.73,Low,State servant,Managers,Rural,141842.91,508.63,4.0,734.93,0,Active,Rural,1,241019.67,True
M,34.0,3057.83,Low,Commercial associate,Laborers,Semi-Urban,75050.56,757.53,3.0,748.36,1,Active,Rural,1,90647.85,True
F,54.0,1772.82,Low,Commercial associate,Sales staff,Urban,73539.93,343.44,2.0,860.09,0,Active,Rural,1,109426.42,True
F,19.0,0.0,Low,Working,Laborers,Urban,186358.65,631.5,3.0,687.26,0,Active,Semi-Urban,1,217416.66,True
M,22.0,1238.77,Low,Commercial associate,Not available,Semi-Urban,64448.12,289.54,2.0,751.98,0,Inactive,Rural,1,90429.17,True
F,32.0,1341.23,Low,Working,Not available,Semi-Urban,49993.65,240.09,2.0,791.91,1,Inactive,Rural,1,55038.65,True
F,56.0,2581.09,Low,State servant,Core staff,Semi-Urban,145688.34,439.16,3.0,777.84,0,Inactive,Semi-Urban,1,257195.53,True
M,43.0,0.0,Low,Working,Laborers,Semi-Urban,49146.91,274.85,2.0,740.04,0,Unpossessed,Semi-Urban,1,54443.85,True
M,41.0,1962.68,Low,Working,Drivers,Semi-Urban,68696.86,723.49,2.0,673.79,0,Inactive,Semi-Urban,1,116147.93,True
F,39.0,3325.44,Low,Working,Security staff,Semi-Urban,121534.0,403.25,2.0,756.42,0,Unpossessed,Urban,1,165013.94,True
M,29.0,2232.98,Low,Working,Cleaning staff,Semi-Urban,174161.64,423.86,2.0,690.88,0,Active,Semi-Urban,1,305661.11,True
M,40.0,1924.05,Low,Working,Managers,Semi-Urban,18587.14,103.23,3.0,788.61,0,Active,Rural,1,23050.3,True
F,36.0,2462.13,Low,State servant,Core staff,Semi-Urban,194060.47,541.88,2.0,866.73,1,Active,Semi-Urban,1,330664.93,True
M,60.0,5167.51125,Low,Commercial associate,Not available,Semi-Urban,37695.87,196.22,2.0,849.1,0,Inactive,Semi-Urban,1,48285.79,True
M,61.0,910.6,Low,Pensioner,Retired,Semi-Urban,77214.66,299.84,2.0,724.75,0,Inactive,Urban,1,106125.64,True
M,30.0,3027.91,Low,Commercial associate,Drivers,Urban,121639.01,484.53,2.0,789.31,0,Unpossessed,Rural,1,207195.53,True
F,63.0,0.0,High,Pensioner,Retired,Semi-Urban,104884.79,409.8,1.0,839.51,0,Active,Semi-Urban,0,121498.78,True
M,44.0,3522.99,Low,Working,Core staff,Semi-Urban,78150.56,359.82,1.0,774.11,0,Inactive,Semi-Urban,1,118576.77,True
M,51.0,0.0,Low,Working,Managers,Semi-Urban,47900.43,225.54,2.0,740.04,0,Inactive,Rural,1,52778.69,True
M,34.0,1787.94,Low,Working,Realty agents,Rural,76265.62,373.04,3.0,680.87,0,Unpossessed,Semi-Urban,1,138486.05,True
M,65.0,0.0,High,Pensioner,Retired,Semi-Urban,230665.075,702.3,2.0,856.28,1,Unpossessed,Rural,1,344891.6775,True
M,29.0,2166.15,Low,Commercial associate,Laborers,Semi-Urban,35542.12,381.03,2.0,766.35,0,Unpossessed,Semi-Urban,1,65323.49,True
M,29.0,1019.73,Low,Working,Core staff,Semi-Urban,93265.42,340.27,2.0,820.33,0,Inactive,Rural,1,119258.58,True
F,18.0,1334.27,Low,State servant,Security staff,Semi-Urban,108562.86,356.09,2.0,663.46,0,Active,Urban,1,119786.93,True
M,50.0,1641.03,Low,Working,Laborers,Semi-Urban,34058.32,156.91,4.0,809.24,0,Unpossessed,Urban,1,52113.15,True
F,57.0,0.0,Low,Working,High skill tech staff,Semi-Urban,230317.8,637.75,2.0,869.4,0,Active,Rural,1,344891.6775,True
F,44.0,3170.26,Low,Working,Laborers,Rural,28933.14,200.54,2.0,704.51,1,Unpossessed,Semi-Urban,1,45966.7,True
M,25.0,1254.22,Low,Working,Sales staff,Rural,123717.37,366.31,4.0,723.75,1,Inactive,Semi-Urban,1,172032.04,True
F,63.0,1305.65,High,Pensioner,Retired,Semi-Urban,84787.78,334.13,1.0,831.45,0,Unpossessed,Urban,0,98362.78,True
M,56.0,2566.7,Low,Working,Core staff,Urban,203886.96,659.63,2.0,868.38,0,Inactive,Urban,1,318373.37,True
M,55.0,1839.54,Low,Working,Core staff,Semi-Urban,30334.47,243.3,3.0,817.98,0,Unpossessed,Urban,1,37749.61,True
F,52.0,0.0,Low,Working,Not available,Semi-Urban,86096.64,676.68,2.0,688.04,0,Inactive,Semi-Urban,1,131728.11,True
F,26.0,1961.65,Low,Working,Not available,Semi-Urban,44967.06,182.74,3.0,740.04,0,Unpossessed,Urban,1,56193.44,True
F,18.0,2114.63,Low,Commercial associate,Not available,Semi-Urban,78565.24,441.23,2.0,784.24,1,Unpossessed,Rural,1,140578.86,True
F,37.0,2325.14,Low,Working,Sales staff,Semi-Urban,92944.96,391.9,2.0,740.04,1,Inactive,Semi-Urban,1,102663.28,True
M,18.0,4598.97,Low,Working,Laborers,Urban,116565.61,349.91,2.0,795.06,1,Inactive,Rural,1,140559.55,True
M,29.0,2915.93,Low,State servant,Core staff,Urban,68159.89,451.18,2.0,740.04,0,Inactive,Urban,1,75697.92,True
F,52.0,2525.4,Low,Working,Laborers,Rural,109487.15,548.3,2.0,740.04,0,Inactive,Rural,1,181343.91,True
M,20.0,1295.39,Low,Working,Sales staff,Rural,135246.74,616.08,2.0,827.85,0,Unpossessed,Rural,1,213014.15,True
F,20.0,3241.1,Low,Working,Core staff,Urban,49897.44,221.52,3.0,706.12,1,Unpossessed,Rural,1,56801.02,True
F,24.0,1573.79,Low,Working,Sales staff,Semi-Urban,67730.25,319.23,2.0,671.82,0,Unpossessed,Semi-Urban,1,74925.51,True
F,32.0,2283.29,Low,Working,Core staff,Semi-Urban,37144.15,185.83,2.0,762.77,0,Inactive,Semi-Urban,1,66715.48,True
F,23.0,3149.86,Low,State servant,Core staff,Semi-Urban,137693.82,359.08,3.0,673.57,1,Unpossessed,Semi-Urban,1,160841.62,True
M,65.0,818.82,High,Pensioner,Retired,Semi-Urban,48338.12,226.6,2.0,787.56,1,Unpossessed,Semi-Urban,1,71451.8,True
M,63.0,4318.81,Low,Commercial associate,Not available,Semi-Urban,39838.09,293.41,4.0,716.73,0,Active,Urban,1,51960.01,True
F,28.0,1060.65,Low,Working,Secretaries,Semi-Urban,52228.86,257.17,3.0,782.77,0,Inactive,Semi-Urban,1,96212.48,True
F,65.0,569.53,High,Pensioner,Retired,Rural,15318.07,87.83,2.0,809.09,0,Active,Semi-Urban,0,20006.88,True
F,48.0,2265.72,Low,Working,Laborers,Semi-Urban,36709.57,181.94,2.0,716.83,0,Active,Urban,1,53174.86,True
F,55.0,2599.46,Low,Working,Laborers,Semi-Urban,41805.57,208.3,3.0,850.19,0,Unpossessed,Rural,1,64128.75,True
F,62.0,841.09,High,Pensioner,Retired,Semi-Urban,141921.98,414.37,1.0,852.44,0,Active,Semi-Urban,1,239933.5,True
M,53.0,1808.67,Low,Commercial associate,Laborers,Semi-Urban,180616.8,777.18,2.0,788.08,0,Inactive,Semi-Urban,1,261284.62,True
F,27.0,4351.61,Low,Commercial associate,Managers,Urban,76194.31,477.82,1.0,653.49,0,Active,Rural,1,84216.77,True
M,48.0,0.0,Low,Working,Laborers,Semi-Urban,37025.19,262.0,3.0,679.26,0,Unpossessed,Semi-Urban,1,65354.85,True
F,42.0,2465.06,Low,Commercial associate,Accountants,Urban,84606.69,491.49,3.0,717.06,0,Active,Rural,1,102848.9,True
F,54.0,0.0,Low,Commercial associate,Managers,Semi-Urban,22414.41,239.99,3.0,653.67,0,Active,Semi-Urban,1,27623.18,True
F,56.0,4580.98,Low,Working,Waiters/barmen staff,Semi-Urban,70844.04,584.16,2.0,740.04,0,Inactive,Urban,1,126051.33,True
F,18.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,80064.3,304.63,2.0,787.57,0,Active,Urban,1,113977.64,True
M,30.0,1677.08,Low,Commercial associate,Not available,Semi-Urban,141659.73,413.58,3.0,680.68,0,Inactive,Urban,1,187936.23,True
F,60.0,5167.51125,Low,Commercial associate,Medicine staff,Urban,105233.31,576.89,4.0,730.74,0,Active,Semi-Urban,1,168241.94,True
F,18.0,2114.1,Low,Working,Managers,Semi-Urban,42514.17,202.57,3.0,756.05,0,Active,Semi-Urban,1,69426.06,True
F,32.0,2956.43,Low,Commercial associate,Sales staff,Urban,84949.25,395.36,1.0,678.12,0,Active,Urban,1,93496.97,True
M,18.0,933.22,Low,Working,Sales staff,Semi-Urban,45932.39,237.62,2.0,788.08,0,Active,Semi-Urban,1,86508.74,True
M,38.0,2518.77,Low,Working,Medicine staff,Rural,230665.075,632.35,2.0,830.41,1,Inactive,Urban,1,344891.6775,True
F,40.0,1371.0,Low,Commercial associate,Sales staff,Semi-Urban,31901.68,251.32,3.0,782.97,0,Unpossessed,Semi-Urban,1,50557.55,True
F,33.0,1832.45,Low,Working,Laborers,Semi-Urban,40307.86,185.97,2.0,742.95,0,Unpossessed,Semi-Urban,1,49531.28,True
M,18.0,5095.56,Low,Commercial associate,Drivers,Urban,186161.93,557.4,2.0,693.93,0,Inactive,Semi-Urban,1,304765.91,True
F,38.0,2353.19,Low,Working,Sales staff,Semi-Urban,111717.01,458.3,0.0,758.08,0,Active,Rural,1,155303.08,True
F,34.0,1333.69,Low,Commercial associate,Core staff,Rural,60003.44,365.16,1.0,756.5,0,Unpossessed,Semi-Urban,1,96103.8,True
M,60.0,1685.88,High,Pensioner,Retired,Semi-Urban,18981.02,145.02,1.0,740.04,0,Inactive,Semi-Urban,0,30943.56,True
M,39.0,4486.57,Low,Commercial associate,Accountants,Semi-Urban,230665.075,920.3712499999999,3.0,716.02,0,Unpossessed,Rural,1,344891.6775,True
F,55.0,1354.95,Low,Commercial associate,Sales staff,Semi-Urban,32770.0,211.77,2.0,661.98,0,Unpossessed,Rural,1,48599.76,True
M,26.0,2119.48,Low,Working,Not available,Semi-Urban,30573.84,165.56,4.0,713.42,0,Inactive,Semi-Urban,1,46081.4,True
M,18.0,4627.06,Low,Working,Not available,Semi-Urban,158454.16,617.21,3.0,763.74,1,Active,Semi-Urban,1,249429.38,True
M,47.0,1945.92,Low,Working,Laborers,Semi-Urban,151611.13,459.21,3.0,767.06,0,Active,Rural,1,273340.42,True
M,64.0,1886.96,Low,Commercial associate,Laborers,Semi-Urban,138495.4,421.03,4.0,655.25,0,Active,Urban,1,184403.31,True
M,57.0,2044.2,Low,Working,Sales staff,Semi-Urban,72218.91,670.85,2.0,691.69,0,Inactive,Urban,1,99483.3,True
F,53.0,5167.51125,Low,Working,Managers,Semi-Urban,74801.38,850.53,3.0,677.41,0,Unpossessed,Semi-Urban,1,102388.28,True
F,31.0,0.0,Low,Working,Laborers,Semi-Urban,140256.01,390.49,3.0,669.13,0,Inactive,Urban,1,229468.05,True
F,65.0,0.0,High,Pensioner,Retired,Rural,170799.63,776.28,2.0,704.96,0,Unpossessed,Semi-Urban,1,265094.27,True
M,34.0,5093.57,Low,Working,Private service staff,Urban,192947.42,770.37,1.0,835.55,0,Unpossessed,Urban,1,243047.34,True
M,63.0,3702.74,High,Pensioner,Retired,Rural,42011.78,235.86,2.0,866.95,1,Inactive,Urban,0,70165.23,True
F,43.0,3855.85,Low,Commercial associate,Not available,Semi-Urban,122130.74,471.25,3.0,740.04,0,Inactive,Semi-Urban,1,208584.42,True
F,25.0,0.0,Low,Working,Drivers,Semi-Urban,93697.6,0.0,5.0,675.05,1,Active,Semi-Urban,1,126407.18,True
F,44.0,5167.51125,Low,Working,Not available,Rural,155210.24,679.74,2.0,705.08,0,Active,Semi-Urban,1,219404.3,True
M,62.0,2002.67,High,Pensioner,Retired,Rural,19384.83,92.94,2.0,796.85,0,Unpossessed,Semi-Urban,1,29364.39,True
F,32.0,2808.97,Low,Working,Core staff,Urban,36641.09,209.6,2.0,733.11,0,Active,Urban,1,62694.61,True
M,64.0,1588.01,Low,Working,Drivers,Semi-Urban,25454.25,124.0,3.0,733.17,0,Inactive,Rural,1,35446.09,True
M,65.0,3312.64,High,Pensioner,Retired,Rural,16837.15,173.48,2.0,740.04,1,Active,Semi-Urban,1,26614.04,True
M,26.0,0.0,Low,Working,Laborers,Semi-Urban,15689.77,153.02,0.0,712.52,0,Unpossessed,Urban,1,20321.28,True
F,57.0,4877.86,Low,Working,Waiters/barmen staff,Semi-Urban,119250.26,609.93,1.0,687.35,0,Unpossessed,Rural,1,200258.14,True
F,54.0,1550.97,Low,Working,Core staff,Rural,180614.6,534.24,4.0,705.45,0,Active,Semi-Urban,1,282669.64,True
F,28.0,1053.66,Low,Commercial associate,Sales staff,Semi-Urban,36547.84,231.47,2.0,774.88,0,Unpossessed,Semi-Urban,1,44729.85,True
M,42.0,0.0,Low,Working,Sales staff,Semi-Urban,230665.075,673.53,2.0,664.21,0,Active,Rural,1,344891.6775,True
F,63.0,0.0,Low,Pensioner,Retired,Semi-Urban,230665.075,920.3712499999999,2.0,794.76,0,Unpossessed,Rural,1,344891.6775,True
M,58.0,1364.79,Low,Commercial associate,Drivers,Semi-Urban,19685.95,127.54,3.0,701.57,0,Active,Rural,1,26031.2,True
M,26.0,1211.2,Low,Commercial associate,Not available,Semi-Urban,60490.02,343.66,2.0,750.42,0,Active,Urban,1,92218.78,True
M,31.0,0.0,Low,Commercial associate,Private service staff,Urban,65610.31,300.9,2.0,826.43,0,Inactive,Urban,1,102053.38,True
F,54.0,2470.93,Low,Working,Managers,Semi-Urban,155513.36,534.66,1.0,788.74,0,Inactive,Semi-Urban,1,189843.71,True
M,34.0,2799.68,Low,Working,Security staff,Semi-Urban,16722.58,141.16,3.0,826.65,0,Unpossessed,Rural,1,28013.53,True
M,18.0,3505.92,Low,Working,Not available,Semi-Urban,145521.91,408.49,3.0,739.06,0,Unpossessed,Semi-Urban,1,241437.76,True
F,65.0,2100.5,Low,Pensioner,Retired,Semi-Urban,97891.08,336.04,1.0,869.85,0,Active,Rural,1,145685.08,True
M,18.0,4466.94,Low,Working,Not available,Semi-Urban,67753.44,380.59,1.0,838.86,0,Active,Urban,1,78802.49,True
M,18.0,0.0,Low,Working,Laborers,Semi-Urban,46995.69,459.09,2.0,740.04,0,Unpossessed,Rural,1,73503.09,True
M,56.0,2422.15,Low,Working,Laborers,Semi-Urban,96748.15,429.85,4.0,808.79,0,Active,Urban,1,141281.32,True
F,47.0,2043.03,Low,Commercial associate,Core staff,Urban,58134.05,256.78,2.0,865.68,0,Inactive,Rural,1,74078.06,True
M,18.0,1971.27,Low,Working,Laborers,Rural,63890.12,672.09,2.0,661.91,0,Active,Semi-Urban,1,97777.8,True
F,18.0,2493.11,Low,Commercial associate,Sales staff,Semi-Urban,77623.23,413.82,3.0,786.02,0,Inactive,Semi-Urban,1,127552.22,True
M,18.0,3283.29,Low,Commercial associate,Private service staff,Semi-Urban,73359.62,471.91,1.0,733.54,0,Active,Urban,1,95540.84,True
F,22.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,32039.71,371.35,2.0,824.41,0,Active,Semi-Urban,1,35814.28,True
M,64.0,2553.36,High,Pensioner,Retired,Semi-Urban,230665.075,813.52,2.0,870.54,0,Unpossessed,Rural,0,344891.6775,True
M,44.0,2208.16,Low,Working,Managers,Rural,101308.23,920.3712499999999,3.0,804.15,1,Unpossessed,Urban,1,143234.09,True
M,44.0,947.68,Low,Working,Cooking staff,Semi-Urban,11728.35,116.33,0.0,740.04,0,Unpossessed,Semi-Urban,1,16539.9,True
M,18.0,1642.01,Low,Working,Laborers,Rural,44544.92,0.0,0.0,712.13,0,Inactive,Urban,1,69489.91,True
F,60.0,0.0,High,Pensioner,Retired,Semi-Urban,218452.02,722.13,2.0,861.22,0,Inactive,Semi-Urban,1,322296.16,True
F,45.0,1719.81,Low,Working,Laborers,Semi-Urban,38529.15,298.48,2.0,700.83,0,Inactive,Urban,1,46618.1,True
F,33.0,3057.42,Low,Working,Medicine staff,Urban,230665.075,920.3712499999999,2.0,780.79,0,Unpossessed,Semi-Urban,1,344891.6775,True
F,42.0,1732.5,Low,Working,Sales staff,Rural,60669.49,479.97,1.0,666.17,0,Active,Semi-Urban,1,99882.72,True
M,20.0,2398.92,Low,Working,Laborers,Semi-Urban,91197.1,460.49,3.0,679.52,0,Active,Semi-Urban,1,142971.33,True
M,18.0,3209.41,Low,Commercial associate,Core staff,Semi-Urban,144336.57,590.5,1.0,751.24,0,Active,Urban,1,245126.52,True
F,31.0,2510.21,Low,Working,Sales staff,Semi-Urban,104665.55,338.11,1.0,709.59,1,Unpossessed,Rural,1,154954.98,True
F,21.0,3111.89,Low,Commercial associate,Not available,Rural,171596.84,615.23,3.0,767.53,0,Active,Rural,1,246348.39,True
F,18.0,826.14,Low,Working,Security staff,Rural,32454.69,223.07,2.0,740.04,1,Inactive,Rural,1,51395.67,True
F,46.0,0.0,Low,Working,Laborers,Semi-Urban,91461.29,272.97,1.0,726.55,0,Active,Rural,1,159624.7,True
M,28.0,0.0,Low,Working,Managers,Semi-Urban,78447.97,625.27,4.0,764.63,0,Inactive,Urban,1,89857.74,True
F,61.0,1015.9,High,Pensioner,Retired,Semi-Urban,82993.74,424.61,2.0,775.07,0,Inactive,Semi-Urban,0,146540.44,True
F,54.0,5167.51125,Low,Commercial associate,IT staff,Urban,230665.075,920.3712499999999,2.0,777.63,1,Active,Urban,1,344891.6775,True
M,40.0,2124.1,Low,State servant,Security staff,Semi-Urban,108010.72,355.26,2.0,727.05,0,Unpossessed,Rural,1,191416.02,True
M,42.0,1051.32,Low,State servant,Medicine staff,Rural,51811.82,284.92,2.0,764.93,1,Unpossessed,Urban,1,82100.71,True
F,65.0,1110.52,High,Pensioner,Retired,Rural,75164.84,224.04,2.0,796.64,0,Unpossessed,Semi-Urban,1,135595.17,True
F,24.0,5167.51125,Low,Working,Managers,Semi-Urban,59508.73,766.99,2.0,795.66,0,Active,Rural,1,110985.87,True
F,48.0,1375.79,Low,Working,Sales staff,Semi-Urban,98325.02,290.12,1.0,764.3,0,Unpossessed,Rural,1,123595.13,True
M,41.0,2325.29,Low,Working,Drivers,Semi-Urban,121319.06,408.9,2.0,778.67,1,Inactive,Semi-Urban,1,140147.07,True
F,18.0,1913.25,Low,Working,Accountants,Urban,34902.58,360.92,2.0,759.91,0,Active,Urban,1,42844.36,True
F,18.0,1521.49,Low,Commercial associate,Sales staff,Rural,205352.22,657.03,0.0,775.07,0,Inactive,Semi-Urban,1,344891.6775,True
M,25.0,5167.51125,Low,Commercial associate,Managers,Semi-Urban,151633.75,708.3,2.0,808.41,0,Unpossessed,Semi-Urban,1,201990.33,True
M,47.0,2890.82,Low,Commercial associate,Sales staff,Semi-Urban,82641.23,380.65,3.0,685.35,0,Unpossessed,Rural,1,119261.42,True
F,18.0,3816.37,Low,Commercial associate,Drivers,Urban,33109.55,305.58,2.0,755.47,0,Active,Semi-Urban,1,58343.35,True
F,50.0,2353.01,Low,Working,Laborers,Semi-Urban,123074.94,656.64,3.0,744.63,0,Inactive,Semi-Urban,1,231860.82,True
F,37.0,1400.93,Low,Working,Cooking staff,Semi-Urban,89490.8,470.35,2.0,685.52,1,Active,Semi-Urban,1,100431.14,True
M,65.0,1711.33,High,Pensioner,Retired,Rural,37989.79,208.36,0.0,740.04,0,Inactive,Rural,0,44673.36,True
F,57.0,0.0,Low,Working,Cooking staff,Urban,166654.01,894.94,2.0,747.29,0,Active,Semi-Urban,1,197621.38,True
M,44.0,1799.74,Low,Working,High skill tech staff,Semi-Urban,49535.68,246.15,2.0,690.47,0,Unpossessed,Rural,1,93777.29,True
M,42.0,2962.51,Low,Working,Managers,Semi-Urban,97968.22,363.83,2.0,685.23,0,Unpossessed,Semi-Urban,1,137971.62,True
F,24.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,111263.0,451.64,2.0,802.67,0,Unpossessed,Urban,1,202236.74,True
M,26.0,1199.87,Low,Commercial associate,Drivers,Semi-Urban,39828.4,446.11,2.0,670.87,0,Unpossessed,Semi-Urban,1,44876.89,True
M,55.0,5104.97,Low,Working,Core staff,Urban,230665.075,920.3712499999999,4.0,811.57,0,Active,Semi-Urban,1,344891.6775,True
M,31.0,0.0,Low,Working,Laborers,Semi-Urban,26098.96,130.57,3.0,798.92,0,Active,Urban,1,29533.52,True
M,38.0,1515.16,Low,Working,Not available,Semi-Urban,34804.49,390.02,2.0,740.04,0,Inactive,Urban,1,48606.5,True
F,18.0,2440.15,Low,Commercial associate,Core staff,Semi-Urban,203685.23,599.86,3.0,836.21,0,Unpossessed,Semi-Urban,1,310734.02,True
F,31.0,3872.4,Low,Working,Not available,Semi-Urban,181540.88,678.74,2.0,759.83,0,Unpossessed,Urban,1,252465.76,True
F,42.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,131643.11,722.33,2.0,703.32,0,Active,Rural,1,164749.59,True
M,50.0,1156.87,Low,Working,Accountants,Rural,62657.36,314.35,2.0,686.95,0,Active,Semi-Urban,1,91467.46,True
M,24.0,1753.16,Low,Commercial associate,Laborers,Semi-Urban,88719.65,412.68,2.0,734.49,1,Inactive,Semi-Urban,1,135238.85,True
M,18.0,3315.98,Low,Working,Laborers,Semi-Urban,136144.36,329.74,2.0,673.24,0,Active,Semi-Urban,1,180392.13,True
F,59.0,3193.53,Low,Commercial associate,Not available,Semi-Urban,112023.74,572.98,2.0,850.02,1,Unpossessed,Semi-Urban,0,187495.79,True
M,30.0,1950.15,Low,Working,Managers,Semi-Urban,73593.69,341.4,0.0,719.93,0,Inactive,Rural,1,107323.37,True
F,45.0,2750.46,Low,Working,Managers,Semi-Urban,108260.66,299.53,2.0,661.65,0,Unpossessed,Semi-Urban,1,181720.24,True
M,18.0,2326.77,Low,Working,Cleaning staff,Semi-Urban,86019.55,459.01,4.0,733.9,0,Active,Rural,1,109368.23,True
M,65.0,1337.46,High,Pensioner,Retired,Rural,29591.09,136.57,2.0,826.77,1,Active,Rural,1,45970.99,True
F,29.0,0.0,Low,Working,Laborers,Rural,152661.03,448.27,2.0,801.77,1,Unpossessed,Semi-Urban,1,251090.9,True
F,60.0,2230.3,High,Pensioner,Retired,Rural,151380.62,717.27,2.0,817.23,0,Inactive,Urban,0,272579.39,True
F,26.0,3057.37,Low,Working,Medicine staff,Rural,70088.08,342.36,0.0,765.09,0,Inactive,Semi-Urban,1,116426.72,True
M,62.0,2930.94,Low,Commercial associate,Laborers,Semi-Urban,70480.89,605.82,2.0,668.02,0,Active,Semi-Urban,1,81364.65,True
M,60.0,2463.69,Low,Working,Laborers,Semi-Urban,91207.36,287.51,2.0,782.01,0,Unpossessed,Semi-Urban,1,164001.83,True
M,63.0,2098.36,Low,Working,Not available,Semi-Urban,95041.19,423.3,3.0,832.75,0,Inactive,Urban,1,130844.4,True
M,18.0,3742.3,Low,State servant,Not available,Rural,144750.46,714.13,3.0,708.71,0,Active,Urban,1,266221.76,True
